1	1			
2	3			
3	5			
4	8			
5	10			
6	13			
7	16			
8	20			
9	23			
10	27			
11	32			
12	36			
13	41			
14	47			
15	53			
16	59			
17	65			
18	72			
19	80			
20	88			
21	96			
22	105			
23	115			
24	125			
25	135			
26	146			
27	158			
28	170			
29	183			
30	196			
31	210			
32	225			
33	240			
34	256			
35	273			
36	290			
37	308			
38	326			
39	345			
40	365			
41	386			
42	407			
43	429			
44	452			
45	475			
46	499			
47	524			
48	550			
49	576			
50	603			
51	631			
52	659			
53	688			
54	718			
55	748			
56	779			
57	811			
58	844			
59	877			
60	911			
61	946			
62	981			
63	"1,017"			
64	"1,053"			
65	"1,090"			
66	"1,128"			
67	"1,167"			
68	"1,206"			
69	"1,246"			
70	"1,286"			
71	"1,327"			
72	"1,368"			
73	"1,411"			
74	"1,453"			
75	"1,497"			
76	"1,540"			
77	"1,585"			
78	"1,630"			
79	"1,675"			
80	"1,721"			
81	"1,768"			
82	"1,815"			
83	"1,863"			
84	"1,911"			
85	"1,959"			
86	"2,008"			
87	"2,058"			
88	"2,108"			
89	"2,158"			
90	"2,209"			
91	"2,260"			
92	"2,312"			
93	"2,364"			
94	"2,417"			
95	"2,470"			
96	"2,523"			
97	"2,577"			
98	"2,631"			
99	"2,686"			
100	"2,740"			
101	"2,796"			
102	"2,851"			
103	"2,907"			
104	"2,963"			
105	"3,020"			
106	"3,077"			
107	"3,134"			
108	"3,192"			
109	"3,250"			
110	"3,308"			
111	"3,366"			
112	"3,425"			
113	"3,484"			
114	"3,543"			
115	"3,602"			
116	"3,662"			
117	"3,722"			
118	"3,782"			
119	"3,843"			
120	"3,904"			
121	"3,965"			
122	"4,026"			
123	"4,087"			
124	"4,149"			
125	"4,210"			
126	"4,272"			
127	"4,335"			
128	"4,397"			
129	"4,459"			
130	"4,522"			
131	"4,585"			
132	"4,648"			
133	"4,711"			
134	"4,775"			
135	"4,838"			
136	"4,902"			
137	"4,966"			
138	"5,030"			
139	"5,094"			
140	"5,159"			
141	"5,223"			
142	"5,288"			
143	"5,352"			
144	"5,417"			
145	"5,482"			
146	"5,547"			
147	"5,612"			
148	"5,678"			
149	"5,743"			
150	"5,809"			
151	"5,874"			
152	"5,940"			
153	"6,006"			
154	"6,072"			
155	"6,138"			
